,jurusan,minat_bakat
0,administrasi bisnis,"['pengembangan bisnis', 'strategi pemasaran', 'kewirausahaan'] ['analitis', 'kreativitas', 'adaptasi]"
1,administrasi pendidikan,"['pengembangan kurikulum', 'pembelajaran inovatif', 'manajemen sekolah'] ['berkomunikasi dengan anak anak', 'empati', 'organisasi']"
2,agribisnis,"['pengembangan agribisnis', 'pengelolaan usaha petani', 'inovasi dalam pertanian'] ['ketahanan pertanian', 'analisis pasar', 'kreativitas']"
3,agrobisnis perikanan,"['budidaya ikan', 'konservasi perairan', 'pemasaran produk perikanan'] ['manajemen sumber daya perairan', 'kemampuan pemasaran', 'ketahanan terhadap perubahan lingkungan']"
4,agroteknologi,"['inovasi dalam pertanian', 'pengembangan varietas tanaman', 'konservasi sumber daya alam'] ['observasi', 'kemampuan analitis', 'kreativitas']"
5,akuntansi,"['akuntansi forensik', 'audit internal', 'analisis keuangan'] ['ketelitian', 'analitis', 'matematika']"
6,antropologi,"['etnografi', 'arkeologi', 'antropologi terapan'] ['observasi', 'interkultural', 'berpikir kritis', 'manajemen waktu']"
7,arkeologi,"['arkeologi maritim', 'arkeologi prasejarah', 'konservasi budaya'] ['teliti', 'kreativitas', 'membaca peta']"
8,arsitektur,"['desain bangunan hunian', 'desain bangunan komersial', 'desain landskap'] ['kreativitas ', 'visualisasi', 'teliti', 'menggambar']"
9,bahasa dan sastra indonesia,"['sastra klasik indonesia', 'sastra modern indonesia', 'kritik sastra'] ['analisis teks', 'kreativitas ', 'budaya indonesia', 'sastra']"
10,bahasa dan sastra inggris,"['sastra klasik inggris', 'sastra amerika', 'studi budaya inggris'] ['bahasa inggris', 'analisis teks', 'komunikasi interpersonal']"
11,bimbingan dan konseling,"['bimbingan karir', 'konseling remaja', 'konseling keluarga'] ['empati', 'ketahanan terhadap stres', 'pendengar yang baik']"
12,biologi,"['ekologi', 'mikrobiologi', 'genetika'] ['teliti', 'analitis', 'kreativitas']"
13,bioteknologi,"['pengembangan obat', 'pemuliaan tanaman', 'bioteknologi industri'] ['penelitian laboratorium', 'kreativitas', 'riset']"
14,budidaya perairan,"['budidaya ikan air tawar', 'pengelolaan sumber daya perikanan', 'konservasi lingkungan perairan'] ['observasi', 'manajerial', 'budidaya perairan']"
15,desain komunikasi visual,"['desain branding', 'desain editorial', 'desain web'] ['kreativitas visual', 'perangkat lunak desain', 'estetika']"
